    Object      Image   Exp_time               RA              DEC             time       filter
115228 1756824p 387 44.7917141273 16.8520606939 56978.2966772 r.MP9601
115228 1756846p 387 44.7655712213 16.838232791 56978.405606 r.MP9601
115228 1756871p 387 44.7381930717 16.8237515244 56978.5196816 r.MP9601
115228 1757110p 500 44.3073824455 16.5941602095 56980.3326503 r.MP9601
115237 1646289p 287 21.5635137938 12.6032693734 56512.5595474 r.MP9601
115237 1646300p 287 21.5670080912 12.6072975217 56512.6032261 r.MP9601
115237 1646301p 287 21.5674117688 12.6077628724 56512.6082721 r.MP9601
115237 1646429p 287 21.6346995621 12.6877595409 56513.4874517 r.MP9601
115237 1646452p 287 21.6413359655 12.6958582027 56513.5774368 r.MP9601
115246 1778897p 287 23.2340704438 13.6421051907 57050.2595389 r.MP9601
115258 1645560p 287 13.7705250263 4.94455308755 56508.5060483 r.MP9601
115258 1645755p 287 13.8851845672 5.0055346474 56509.481476 r.MP9601
115258 1645765p 287 13.889606998 5.00791055654 56509.5203546 r.MP9601
115258 1645766p 287 13.8901441242 5.0081991225 56509.5250766 r.MP9601
115258 1645767p 287 13.8906905237 5.00849267043 56509.5298801 r.MP9601
115258 1646581p 287 14.4413620895 5.32394682933 56515.5075537 r.MP9601
115258 1650809p 287 14.3508564561 5.63291603921 56534.4239621 r.MP9601
115258 1651026p 287 14.264440793 5.61865718449 56535.4281748 r.MP9601
115258 1651037p 287 14.260534077 5.61796425015 56535.4711845 r.MP9601
115258 1651673p 287 13.8414946854 5.53176826646 56539.4081788 r.MP9601
115258 1651684p 287 13.8362368141 5.53055628258 56539.4509547 r.MP9601
115264 1715396p 287 212.814261222 -11.277456801 56799.4615478 r.MP9601
115264 1716266p 287 211.892140622 -11.0165861 56805.3816791 r.MP9601
115267 1756820p 387 46.5130592801 15.3528291508 56978.2764489 r.MP9601
115267 1756842p 387 46.4862504861 15.3410550183 56978.3851332 r.MP9601
115267 1756867p 387 46.4581708028 15.328722725 56978.4989697 r.MP9601
115267 1757102p 500 46.0219405819 15.1369561294 56980.2811405 r.MP9601
115267 1757797p 500 45.0462291326 14.7057866768 56984.4037274 r.MP9601
115270 1722735p 287 17.6695350971 4.63869720408 56835.5939185 r.MP9601
115270 1722898p 287 17.9236604483 4.78907035768 56836.5989819 r.MP9601
115270 1741553p 287 21.9835624163 12.4913410759 56918.3793141 r.MP9601
115270 1741564p 287 21.974059797 12.4922851269 56918.4240323 r.MP9601
115270 1742015p 287 20.8316268791 12.571155767 56923.4766878 r.MP9601
115272 1774680p 387 12.9981481301 5.82814380996 57039.2742714 r.MP9601
115290 1722368p 287 16.09082336 4.16072059819 56833.6085575 r.MP9601
115290 1722732p 287 16.4867291696 4.38874121899 56835.5822479 r.MP9601
115290 1722895p 287 16.6845992444 4.50371849567 56836.5873153 r.MP9601
115298 1671922p 287 14.8675356132 5.69827111697 56625.3210155 r.MP9601
115298 1671922p 287 14.8675356132 5.69827111697 56625.3210155 r.MP9601
115298 1671923p 287 14.8674379029 5.69815041597 56625.3279127 r.MP9601
115298 1671923p 287 14.8674379029 5.69815041597 56625.3279127 r.MP9601
115298 1672379p 287 14.8708064838 5.64507982569 56630.2712628 r.MP9601
115298 1672392p 287 14.8717631368 5.64493487826 56630.3234438 r.MP9601
115299 1757114p 387 22.2851673929 14.3717804363 56980.3560599 r.MP9601
115299 1757539p 287 22.0566160693 14.0438033777 56982.2068378 r.MP9601
115299 1757580p 287 22.0375875221 14.0153621327 56982.3693592 r.MP9601
115330 1656884p 287 12.0454239555 2.51854375738 56564.3454028 r.MP9601
115330 1656894p 287 12.0342801794 2.5198160995 56564.38422 r.MP9601
115330 1656905p 287 12.0216971297 2.52125277087 56564.4280506 r.MP9601
115330 1657651p 287 10.3047706486 2.71708597649 56570.3595828 r.MP9601
115351 1635444p 287 241.145771984 -12.1835699917 56475.3808197 r.MP9601
115351 1635787p 287 240.887232427 -12.2090176176 56477.3720622 r.MP9601
115351 1644981p 287 240.432925158 -13.3902813739 56505.2627667 r.MP9601
115351 1645176p 287 240.529864814 -13.4594889408 56506.3105793 r.MP9601
115351 1645702p 287 240.849017139 -13.6644514689 56509.3004952 r.MP9601
115365 1645245p 287 17.5687301594 6.98566007172 56506.5435278 r.MP9601
115365 1645256p 287 17.5750479352 6.98726176134 56506.5862396 r.MP9601
115365 1657484p 287 13.2124134081 3.45213043942 56569.5190192 r.MP9601
115365 1658274p 287 12.0494519516 2.85504364561 56574.4808518 r.MP9601
115376 1658161p 287 21.4372398471 13.4662906429 56573.532751 r.MP9601
115376 1658162p 287 21.4351523128 13.4658720572 56573.5405185 r.MP9601
115376 1658259p 287 21.2043251689 13.4190584151 56574.3969485 r.MP9601
115472 1645243p 287 17.6121446643 4.97487123488 56506.5357395 r.MP9601
115472 1645254p 287 17.615205627 4.97521529658 56506.5784506 r.MP9601
115472 1650816p 287 17.6300806357 4.37005875202 56534.4529108 r.MP9601
115472 1650817p 287 17.6297366256 4.36981491344 56534.4576557 r.MP9601
115472 1651033p 287 17.5549192531 4.31777330006 56535.4555818 r.MP9601
115472 1651049p 287 17.5498045908 4.31429058883 56535.5212245 r.MP9601
115472 1651680p 287 17.2061162294 4.09045708058 56539.4354087 r.MP9601
115472 1651697p 287 17.1987846205 4.08590212356 56539.5102847 r.MP9601
115474 1681669p 287 22.6175127882 14.4441321571 56655.2596776 r.MP9601
115474 1681855p 387 22.7754790391 14.3542340099 56656.3640616 r.MP9601
115474 1681950p 287 23.2195932291 14.1376904394 56659.2532577 r.MP9601
115474 1681963p 387 23.2285143334 14.1338877522 56659.3080164 r.MP9601
115474 1682230p 287 23.3787419856 14.0710101992 56660.2232773 r.MP9601
115474 1682240p 287 23.3858629491 14.0681947976 56660.2656851 r.MP9601
115485 1607779p 287 214.312974478 -12.8475317446 56332.5626729 r.MP9601
115558 1735065p 287 23.9170681264 13.2039546955 56892.5447658 r.MP9601
115558 1735077p 287 23.9155250844 13.2063506425 56892.591643 r.MP9601
115558 1736155p 287 23.7469754271 13.3902596183 56896.4370914 r.MP9601
115558 1736182p 287 23.7417440503 13.3945192636 56896.5329334 r.MP9601
115558 1741558p 287 21.3162627359 13.9356685877 56918.4004322 r.MP9601
115558 1741568p 287 21.309855934 13.9358429224 56918.4396575 r.MP9601
115581 1625662p 287 242.867573985 -11.4758626704 56421.5705411 r.MP9601
115581 1625937p 287 242.645824851 -11.4432750047 56422.575739 r.MP9601
115581 1630538p 287 236.541631235 -11.121282862 56447.3809342 r.MP9601
115581 1630863p 287 236.083766157 -11.1478695579 56449.3677657 r.MP9601
115666 1722361p 287 14.2565772027 5.20355134292 56833.5810826 r.MP9601
115666 1722508p 287 14.6649037052 5.39380119241 56834.5799478 r.MP9601
115666 1722894p 287 15.4778877639 5.77265778047 56836.5834336 r.MP9601
115666 1757442p 387 24.2519244228 14.9983061027 56981.2185325 r.MP9601
115666 1757464p 387 24.236823372 14.9934675232 56981.3590074 r.MP9601
115666 1757551p 287 24.1427056922 14.9630916062 56982.255301 r.MP9601
115666 1757593p 287 24.1262704904 14.9576825524 56982.4217334 r.MP9601
115710 1715376p 287 212.528234146 -12.5133952449 56799.3815821 r.MP9601
115710 1715885p 287 212.066956007 -12.3069923058 56802.4581286 r.MP9601
115710 1716263p 287 211.678074542 -12.1292822673 56805.3699702 r.MP9601
115710 1722435p 287 210.680894183 -11.4573438521 56834.3054061 r.MP9601
115719 1722736p 287 18.110702408 5.90017829482 56835.5978274 r.MP9601
115719 1723121p 287 18.757939337 6.14044508727 56837.5851217 r.MP9601
115722 1704845p 287 237.973561736 -12.0637331311 56777.4131136 r.MP9601
115722 1704858p 287 237.961736792 -12.0646454836 56777.4644335 r.MP9601
115722 1704871p 287 237.949814841 -12.0655653207 56777.5161743 r.MP9601
115722 1705588p 287 237.002660285 -12.1401595978 56781.50105 r.MP9601
115722 1705601p 287 236.989814705 -12.1411971815 56781.5536599 r.MP9601
115722 1716495p 287 230.736515202 -12.8588922592 56806.3587044 r.MP9601
115722 1716505p 287 230.727564408 -12.8604568948 56806.3975505 r.MP9601
115722 1716515p 287 230.718616618 -12.8620210051 56806.4363836 r.MP9601
115722 1716734p 287 230.483054258 -12.9038925284 56807.4663047 r.MP9601
115722 1716953p 287 230.277116261 -12.9420934484 56808.3825909 r.MP9601
115738 1778496p 387 214.760741263 -13.547656287 57048.6327179 r.MP9601
115772 1729253p 287 24.3238898323 13.159521252 56863.5049477 r.MP9601
115772 1729263p 287 24.3299570677 13.1623340943 56863.5441967 r.MP9601
115772 1729273p 287 24.3364193616 13.1653300904 56863.5860013 r.MP9601
115772 1735255p 287 26.8045586179 14.5036076148 56893.4703414 r.MP9601
115772 1735271p 287 26.8046168998 14.5045984084 56893.5402798 r.MP9601
115772 1736563p 287 26.6999103645 14.5469444444 56899.4456264 r.MP9601
