    Object      Image   Exp_time               RA              DEC             time       filter
169991 1645762p 287 14.9391990296 3.52495911158 56509.5086909 r.MP9601
169991 1645775p 287 14.9419506793 3.52300632797 56509.5619486 r.MP9601
170052 1778500p 387 213.431258482 -12.8561245261 57048.6531132 r.MP9601
170061 1723387p 287 236.731351285 -10.8873071508 56839.3637526 r.MP9601
170068 1778499p 387 218.986387909 -13.5444193666 57048.6479896 r.MP9601
170145 1728611p 287 234.976695915 -13.5116621058 56857.3539956 r.MP9601
170175 1635438p 287 239.055183587 -12.4348409227 56475.3569924 r.MP9601
170175 1635599p 287 239.024559422 -12.5747228184 56476.3938819 r.MP9601
170178 1729486p 287 27.7360139441 14.1439740307 56864.5376248 r.MP9601
170178 1729497p 287 27.7498472166 14.1506058467 56864.5807976 r.MP9601
170178 1757542p 287 20.8761522141 13.9230428815 56982.2186791 r.MP9601
170178 1757583p 287 20.8615386696 13.9123082409 56982.3810518 r.MP9601
170183 1756825p 387 44.4270998657 13.9098623818 56978.3017881 r.MP9601
170183 1756847p 387 44.4001919447 13.8997889274 56978.4106903 r.MP9601
170183 1756872p 387 44.3719990574 13.8892344232 56978.524793 r.MP9601
170187 1645167p 287 214.533112256 -12.0066696201 56506.2744815 r.MP9601
170187 1645822p 287 215.779746773 -12.3654941888 56510.2553587 r.MP9601
170187 1645954p 287 216.102726331 -12.4580534443 56511.2551703 r.MP9601
170188 1645164p 287 213.354588745 -11.7069953304 56506.262518 r.MP9601
170188 1645696p 287 214.276385729 -12.0901331055 56509.275333 r.MP9601
170193 1778890p 287 20.6020443852 12.0502696563 57050.2303205 r.MP9601
170204 1607779p 287 214.579821059 -12.9051632139 56332.5626729 r.MP9601
170204 1611938p 287 217.025885852 -13.2060060748 56358.5706975 r.MP9601
170204 1611939p 287 217.025939987 -13.2058978037 56358.5763465 r.MP9601
170204 1611950p 287 217.026384043 -13.2050096912 56358.6226828 r.MP9601
170204 1616317p 287 213.915848163 -11.4456347534 56389.3912307 r.MP9601
170204 1616328p 287 213.907034763 -11.4416325335 56389.4350239 r.MP9601
170204 1616504p 287 213.706129107 -11.3505756869 56390.4236643 r.MP9601
170204 1616515p 287 213.696818692 -11.3463665251 56390.468897 r.MP9601
170204 1616682p 287 213.509547837 -11.2619560148 56391.3704657 r.MP9601
170204 1616693p 287 213.500475373 -11.2578838859 56391.4135824 r.MP9601
170204 1616704p 287 213.491426026 -11.2538221326 56391.4565892 r.MP9601
170210 1757545p 287 20.3091273864 13.4519411009 56982.2313596 r.MP9601
170210 1757586p 287 20.2896164436 13.4393374805 56982.3928294 r.MP9601
170211 1778891p 287 20.6211609593 13.0906975272 57050.2358937 r.MP9601
170214 1645486p 287 220.206517029 -15.5740667279 56508.2800009 r.MP9601
170216 1626303p 287 216.07642891 -14.8004506983 56424.4884778 r.MP9601
170216 1635769p 287 211.088073104 -13.0686632569 56477.2949723 r.MP9601
170216 1636127p 287 211.234624712 -13.1175137928 56479.3026006 r.MP9601
170216 1645168p 287 215.255126765 -14.4562834634 56506.2784819 r.MP9601
170216 1645697p 287 215.910459061 -14.6692157824 56509.2793008 r.MP9601
170216 1645955p 287 216.363095478 -14.8149979548 56511.259232 r.MP9601
170223 1774685p 387 15.5882248464 6.08600782904 57039.303072 r.MP9601
170253 1722443p 287 216.017628814 -13.4697793592 56834.3382308 r.MP9601
170253 1728419p 287 216.743531469 -14.1451117113 56856.3091032 r.MP9601
170253 1728420p 287 216.743924374 -14.1453139076 56856.313239 r.MP9601
170257 1645167p 287 214.546070327 -12.1071860505 56506.2744815 r.MP9601
170257 1645822p 287 215.715792131 -12.6026881886 56510.2553587 r.MP9601
170264 1757087p 387 13.8202731967 5.9951342236 56980.2022828 r.MP9601
170264 1757100p 387 13.8234143105 5.98926333236 56980.2695924 r.MP9601
170264 1757969p 387 14.2295949489 5.55185916345 56986.2188745 r.MP9601
170311 1635765p 287 209.368860325 -10.4583053475 56477.2789342 r.MP9601
170311 1636123p 287 209.609291211 -10.4943758806 56479.2862259 r.MP9601
170311 1645167p 287 214.953113459 -11.7956297949 56506.2744815 r.MP9601
170311 1645822p 287 216.032129894 -12.0880467435 56510.2553587 r.MP9601
170311 1645957p 287 216.317242352 -12.1653731254 56511.2674218 r.MP9601
170312 1774680p 387 13.211330754 5.90456979899 57039.2742714 r.MP9601
170333 1778899p 287 23.8550084745 13.4071620289 57050.2674944 r.MP9601
170341 1729487p 287 27.9670042757 15.1805344438 56864.5415604 r.MP9601
170341 1729498p 287 27.9779660797 15.1844103745 56864.5847596 r.MP9601
170343 1728798p 287 12.582339313 4.66654992529 56861.5793118 r.MP9601
170343 1729709p 287 13.177503072 4.97142625108 56865.5599023 r.MP9601
170343 1734905p 287 14.6600948836 6.05025069837 56891.5483626 r.MP9601
170343 1736283p 287 14.3420756186 6.04869220708 56897.4099372 r.MP9601
170365 1757902p 387 11.6058444486 2.41872529514 56985.2911109 r.MP9601
170365 1757990p 387 11.5875660443 2.48651724402 56986.3174675 r.MP9601
170365 1768998p 287 12.9642112264 4.47480960971 57008.3190842 r.MP9601
170401 1631661p 287 241.721677273 -12.4149401724 56456.4668896 r.MP9601
170401 1635438p 287 238.911382339 -12.4115645763 56475.3569924 r.MP9601
170401 1635599p 287 238.822416309 -12.4320947625 56476.3938819 r.MP9601
170401 1644978p 287 239.249593899 -13.7024278537 56505.2510632 r.MP9601
170401 1645007p 287 239.256253494 -13.7063019039 56505.3127737 r.MP9601
170401 1645173p 287 239.364410416 -13.76845438 56506.2988461 r.MP9601
170408 1611935p 287 217.230117355 -14.6495630542 56358.5577856 r.MP9601
170408 1611936p 287 217.229966249 -14.6496210124 56358.5627534 r.MP9601
170408 1611948p 287 217.228385241 -14.6502274265 56358.6147318 r.MP9601
170426 1716497p 287 230.009238116 -11.1818337977 56806.3664643 r.MP9601
170426 1716507p 287 230.000853834 -11.1799670269 56806.4053104 r.MP9601
170426 1716517p 287 229.992471707 -11.1781007361 56806.4441465 r.MP9601
170426 1716738p 287 229.770312142 -11.1289035448 56807.4818288 r.MP9601
170426 1716957p 287 229.577131576 -11.0869149187 56808.3981757 r.MP9601
170442 1686862p 387 216.401535155 -15.0049550689 56691.5902666 r.MP9601
170447 1698714p 387 238.727635605 -12.353018412 56751.5351914 r.MP9601
170447 1698717p 387 238.727045309 -12.3511594958 56751.5538324 r.MP9601
170451 1729260p 287 21.9755024212 13.4751995839 56863.5324452 r.MP9601
170451 1729270p 287 21.9870992437 13.479729683 56863.5740481 r.MP9601
170451 1729280p 287 21.9986991526 13.4842609877 56863.6156621 r.MP9601
170451 1751560p 287 24.1211473862 12.1774304113 56952.4449162 r.MP9601
170451 1751570p 287 24.112578645 12.1716194259 56952.4843127 r.MP9601
170451 1751580p 287 24.1041204264 12.1658833926 56952.5232011 r.MP9601
170451 1751806p 387 23.9037541702 12.0295028496 56953.4461346 r.MP9601
170453 1692348p 387 242.992641576 -16.2602561751 56716.5879758 r.MP9601
170453 1692672p 387 244.178848837 -16.3621350984 56722.6466603 r.MP9601
170453 1692846p 387 244.35361754 -16.3747109379 56723.6213195 r.MP9601
170476 1715378p 287 211.436286423 -13.4158503748 56799.3893833 r.MP9601
170476 1715380p 287 211.434938848 -13.4153533473 56799.3977838 r.MP9601
170506 1686688p 387 216.965328837 -12.6410195127 56689.6579487 r.MP9601
170506 1686858p 387 217.341889049 -12.7592458994 56691.5701158 r.MP9601
170506 1686863p 387 217.346758732 -12.7607711739 56691.5953038 r.MP9601
170508 1715376p 287 212.213826134 -12.0044517917 56799.3815821 r.MP9601
170508 1715396p 287 212.19829946 -12.0053847248 56799.4615478 r.MP9601
170508 1716263p 287 211.142271479 -12.0970188573 56805.3699702 r.MP9601
170515 1686860p 387 214.374401152 -13.6517049052 56691.5801931 r.MP9601
170515 1691679p 287 216.087825543 -14.4177521943 56712.5895136 r.MP9601
170515 1691914p 287 216.108412191 -14.4346601404 56713.5724831 r.MP9601
170515 1692333p 287 216.135633573 -14.4749508434 56716.5205759 r.MP9601
170515 1698826p 387 212.402969235 -13.6541908924 56752.3873101 r.MP9601
170556 1721595p 287 233.185820472 -11.7303005501 56830.3215073 r.MP9601
170556 1721606p 287 233.178820499 -11.7318957819 56830.3643643 r.MP9601
170556 1728589p 287 230.747197106 -13.2036695238 56857.2664464 r.MP9601
170579 1728432p 287 237.788212777 -10.6405027665 56856.341043 r.MP9601
170580 1705715p 287 237.883809392 -13.8716107668 56782.4914055 r.MP9601
