    Object      Image   Exp_time               RA              DEC             time       filter
73848 1672381p 287 15.8424610641 5.07009679852 56630.2790396 r.MP9601
73848 1672394p 287 15.8427654444 5.07027073014 56630.331219 r.MP9601
73848 1672601p 287 15.8499860937 5.07407048159 56631.2569879 r.MP9601
73848 1672603p 387 15.8500957005 5.0741223386 56631.2654736 r.MP9601
73910 1646288p 287 20.8819971953 11.9294781363 56512.5556662 r.MP9601
73910 1646299p 287 20.8845451915 11.9305944013 56512.5993461 r.MP9601
73910 1651193p 287 20.3961031388 11.7460372211 56536.5412237 r.MP9601
73910 1651203p 287 20.3922327089 11.744396202 56536.58009 r.MP9601
73910 1651203p 287 20.3922327089 11.744396202 56536.58009 r.MP9601
73910 1651363p 287 20.2944848091 11.7027378142 56537.52849 r.MP9601
73910 1651375p 287 20.2892364471 11.700492452 56537.5780808 r.MP9601
73936 1774684p 387 15.3412871202 4.91504966471 57039.2979699 r.MP9601
73942 1646294p 287 23.6895627167 12.2867514268 56512.5799415 r.MP9601
73942 1646305p 287 23.6925299728 12.2898530031 56512.6239008 r.MP9601
73942 1651336p 287 23.7490078414 13.5359817695 56537.4211324 r.MP9601
73942 1651347p 287 23.7461182923 13.5371977881 56537.4644756 r.MP9601
73942 1651491p 287 23.6786681138 13.5637226614 56538.4404424 r.MP9601
73942 1651503p 287 23.6753074968 13.5649399947 56538.4870636 r.MP9601
73980 1774679p 387 17.0629229861 3.14057524419 57039.269152 r.MP9601
73983 1645237p 287 15.5717162142 4.06107477074 56506.5124324 r.MP9601
73983 1645248p 287 15.5733188824 4.06429197867 56506.5551702 r.MP9601
73983 1650809p 287 14.4614978124 5.5800076482 56534.4239621 r.MP9601
73983 1651026p 287 14.3403467073 5.61232881872 56535.4281748 r.MP9601
73983 1651037p 287 14.3350242548 5.61367884596 56535.4711845 r.MP9601
73990 1671668p 387 20.9526702545 12.4214245232 56623.3562943 r.MP9601
73990 1672212p 387 20.5133642047 12.3485030871 56629.2993826 r.MP9601
73990 1672397p 287 20.4638990227 12.3440472402 56630.3429935 r.MP9601
73990 1681664p 287 21.5425078788 12.9733207584 56655.2391209 r.MP9601
