Object	Image	Exp_time	RA	DEC	time	filter
272012	1645237p	287	15.4064756729	3.30072432599	56506.5124324	r.MP9601
272012	1645248p	287	15.4086837935	3.299394705	56506.5551702	r.MP9601
272025	1723123p	287	31.2976831645	18.716363614	56837.5931655	r.MP9601
272025	1723271p	287	31.5668230975	18.8353785687	56838.6103877	r.MP9601
272034	1651335p	287	23.8745782521	12.2700865273	56537.4172125	r.MP9601
272034	1651346p	287	23.8714194254	12.2696051823	56537.4605336	r.MP9601
272034	1651490p	287	23.7982500227	12.2577903265	56538.4365588	r.MP9601
272034	1651502p	287	23.7946366482	12.2571686707	56538.483183	r.MP9601
272088	1667551p	287	21.5736357489	11.5057189068	56595.3650569	r.MP9601
272088	1667759p	287	21.3628834852	11.496361052	56596.3558886	r.MP9601
272088	1667869p	287	21.1641023712	11.4875959537	56597.3017052	r.MP9601
272088	1667879p	287	21.1559520761	11.4872489019	56597.3407485	r.MP9601
272088	1667897p	387	21.1375347777	11.4864646656	56597.4289751	r.MP9601
272092	1646432p	287	24.280608712	12.4202565655	56513.4990909	r.MP9601
272092	1646443p	287	24.2813866861	12.421269741	56513.5425127	r.MP9601
272092	1651194p	287	23.5423373237	12.5204341753	56536.5451291	r.MP9601
272092	1651204p	287	23.5391474828	12.5198512603	56536.5839901	r.MP9601
272092	1651366p	287	23.4581593551	12.5044089232	56537.5430799	r.MP9601
272092	1651377p	287	23.4544705701	12.5036842344	56537.5858485	r.MP9601
272105	1686655p	500	156.706825538	9.18812131111	56689.539395	r.MP9601
272105	1686656p	500	156.705491935	9.18872116444	56689.545822	r.MP9601
272105	1686657p	500	156.704157503	9.18932139111	56689.552253	r.MP9601
272105	1686658p	500	156.702831578	9.18991779111	56689.558643	r.MP9601
272115	1757898p	287	11.3598955473	1.38429198815	56985.2750098	r.MP9601
272115	1757986p	287	11.3319703822	1.41876902572	56986.3013163	r.MP9601
272115	1769002p	287	12.2778375861	2.72654282031	57008.3352182	r.MP9601
272117	1774991p	387	12.6280904879	3.31104392243	57040.2304544	r.MP9601
272123	1607611p	287	211.67897698	-10.2979471933	56331.5564046	r.MP9601
272123	1607622p	287	211.683872754	-10.2987860944	56331.6035928	r.MP9601
272134	1778493p	387	216.074536886	-13.9937151307	57048.6174421	r.MP9601
272140	1686655p	500	156.580383619	9.27585697778	56689.539395	r.MP9601
272140	1686656p	500	156.579052694	9.27631400889	56689.545822	r.MP9601
272140	1686657p	500	156.577720941	9.27677132444	56689.552253	r.MP9601
272140	1686658p	500	156.576397679	9.27722572444	56689.558643	r.MP9601
272241	1646436p	287	25.7311897445	14.5730865949	56513.5153214	r.MP9601
272241	1646447p	287	25.7350872126	14.5766577909	56513.5580334	r.MP9601
272285	1671903p	387	24.0476374652	14.0646381936	56625.2594585	r.MP9601
272285	1672412p	287	23.7021476538	13.7847865427	56630.4021547	r.MP9601
272285	1672608p	387	23.6619846503	13.7431528705	56631.2941337	r.MP9601
272409	1778496p	387	214.783266989	-13.1183403915	57048.6327179	r.MP9601
