    Object      Image   Exp_time               RA              DEC             time       filter
223569 1658158p 287 25.996263618 13.0881100289 56573.520964 r.MP9601
223569 1667388p 287 20.9618893565 11.3612909262 56594.4527505 r.MP9601
223569 1667551p 287 20.7538079777 11.2829340186 56595.3650569 r.MP9601
223569 1667762p 287 20.5286215781 11.1974656654 56596.3676184 r.MP9601
223569 1667872p 287 20.3194695321 11.1175898626 56597.3134983 r.MP9601
223569 1667882p 287 20.3109076139 11.1143001689 56597.3527132 r.MP9601
223569 1667900p 387 20.2908220792 11.106582826 56597.444708 r.MP9601
223569 1668253p 287 19.4551355877 10.7806839577 56601.431471 r.MP9601
223569 1681689p 387 18.8018067119 10.1107731697 56655.3230713 r.MP9601
223569 1681841p 387 18.957877943 10.1641335941 56656.2039153 r.MP9601
223569 1681843p 387 18.9741565444 10.1697340303 56656.2935223 r.MP9601
223569 1681844p 387 18.9752375519 10.1701059366 56656.2994728 r.MP9601
223588 1778496p 387 214.762750064 -12.9865006167 57048.6327179 r.MP9601
223608 1671903p 387 23.5810744224 14.1553708686 56625.2594585 r.MP9601
223608 1672410p 287 23.1201495908 14.1878829689 56630.3943253 r.MP9601
223608 1672607p 387 23.0591905218 14.1980581572 56631.289097 r.MP9601
223736 1722366p 287 12.4919427299 3.7306214954 56833.600572 r.MP9601
223736 1722513p 287 12.6812250623 3.84493452636 56834.5994251 r.MP9601
223736 1729715p 287 16.7620801334 6.80167863032 56865.5838032 r.MP9601
223758 1729011p 287 15.799111969 6.21401314442 56862.5414084 r.MP9601
223758 1729712p 287 16.2163342047 6.37701691781 56865.5720701 r.MP9601
223758 1734910p 287 17.9106157894 6.99422370362 56891.5681404 r.MP9601
223758 1734914p 387 17.9104902927 6.99411772862 56891.5882198 r.MP9601
223758 1736288p 287 17.7671028428 6.92011253926 56897.4309135 r.MP9601
223758 1774685p 387 15.29642616 6.21890239676 57039.303072 r.MP9601
223787 1751773p 287 12.3870426006 4.93367239094 56953.2994276 r.MP9601
223787 1751774p 287 12.3861888749 4.93363358522 56953.3033081 r.MP9601
223787 1752342p 287 11.5354479853 4.90218605966 56957.2700097 r.MP9601
223848 1722739p 287 18.8047874149 6.05831235312 56835.6095012 r.MP9601
223858 1751525p 287 26.911880852 13.6471853846 56952.3027336 r.MP9601
223858 1751536p 287 26.90225035 13.6437915982 56952.3483218 r.MP9601
223858 1751547p 287 26.8930047825 13.6405334627 56952.3920878 r.MP9601
223858 1751815p 387 26.6611503798 13.5585471316 56953.4915626 r.MP9601
223858 1752114p 387 26.2420080273 13.4084916783 56955.4923615 r.MP9601
223858 1757089p 387 21.9967516537 11.7269428096 56980.2127973 r.MP9601
223858 1757112p 387 21.9812015538 11.7200070592 56980.3456095 r.MP9601
223858 1757536p 287 21.7729651218 11.6259223 56982.1924555 r.MP9601
223858 1757537p 287 21.772308854 11.6256208647 56982.1986565 r.MP9601
223858 1757578p 287 21.7550645862 11.6177002693 56982.3615945 r.MP9601
223893 1616941p 287 241.92088264 -13.3555148864 56392.6012463 r.MP9601
223893 1617720p 287 241.142786204 -13.4342614854 56399.4835337 r.MP9601
223893 1617911p 287 240.874743129 -13.4563055359 56401.4560958 r.MP9601
223893 1617924p 287 240.867277495 -13.4569074849 56401.5089499 r.MP9601
223896 1735068p 287 22.5452447145 12.77274943 56892.5564139 r.MP9601
223896 1735080p 287 22.545967592 12.7745729047 56892.6033033 r.MP9601
223896 1736158p 287 22.5583863682 12.9065183506 56896.4487598 r.MP9601
223896 1736185p 287 22.5575024286 12.9094112438 56896.5451896 r.MP9601
223896 1741557p 287 20.9116684982 12.9845298412 56918.3963832 r.MP9601
223896 1741567p 287 20.9062037333 12.9835999012 56918.4357689 r.MP9601
223896 1775266p 387 18.8722132074 11.6373009352 57041.2325025 r.MP9601
223896 1775275p 387 18.8850534985 11.6416707349 57041.2786353 r.MP9601
223896 1778893p 287 21.5115159608 12.5367076322 57050.2437764 r.MP9601
223901 1774992p 387 11.7003128902 2.28222183337 57040.2355185 r.MP9601
223938 1625353p 287 241.335134848 -12.7418168664 56420.4592808 r.MP9601
223938 1625364p 287 241.32687838 -12.7418046346 56420.5033153 r.MP9601
223938 1625375p 287 241.318662261 -12.7417924626 56420.5471346 r.MP9601
223938 1625658p 287 241.128449726 -12.7418206144 56421.554212 r.MP9601
223938 1625930p 287 240.938752404 -12.7422487853 56422.5478135 r.MP9601
223938 1630191p 287 236.58730441 -12.8777292155 56444.4130245 r.MP9601
223938 1630308p 287 236.397357872 -12.8910371906 56445.3946777 r.MP9601
223938 1630862p 287 235.646904214 -12.9526505587 56449.3635808 r.MP9601
223941 1774992p 387 12.0661157293 2.55679500197 57040.2355185 r.MP9601
223949 1728794p 287 13.6674939206 4.56889974866 56861.5636502 r.MP9601
223949 1729706p 287 14.0603397129 4.77284784688 56865.5479782 r.MP9601
223949 1734918p 387 14.6796128572 5.36980752381 56891.6084468 r.MP9601
223949 1735075p 287 14.6315116984 5.36553076489 56892.5836445 r.MP9601
223958 1774675p 387 13.1746416544 1.98262578392 57039.2487676 r.MP9601
224103 1651681p 287 17.5500666748 5.41725462666 56539.4392888 r.MP9601
224103 1651698p 287 17.5430443361 5.40916073108 56539.5141937 r.MP9601
224116 1667915p 387 25.6600700467 12.8627648845 56597.520566 r.MP9601
224116 1671722p 387 21.4989767903 11.2369883285 56624.2307323 r.MP9601
224176 1667735p 287 15.8806101534 5.36499845306 56596.262247 r.MP9601
224176 1667746p 287 15.8725207847 5.36231392807 56596.3051994 r.MP9601
224176 1667757p 287 15.8644710722 5.3596425633 56596.3479412 r.MP9601
224176 1667864p 287 15.6902315648 5.30201723816 56597.2811942 r.MP9601
224176 1667893p 387 15.6669339463 5.29437519472 56597.4085616 r.MP9601
224176 1668260p 287 14.9736042322 5.07175857309 56601.4588154 r.MP9601
224176 1671919p 287 13.4063726563 4.82932631747 56625.3093456 r.MP9601
224176 1672376p 287 13.674951342 5.02508192741 56630.2588282 r.MP9601
224176 1672389p 287 13.678966644 5.02761409984 56630.3109186 r.MP9601
224176 1672747p 387 13.8376417142 5.12526250337 56632.2158041 r.MP9601
224209 1735254p 287 26.7426934245 13.3642760963 56893.4616377 r.MP9601
224209 1735270p 287 26.7435277141 13.3662124722 56893.5357968 r.MP9601
224209 1736562p 287 26.7039583542 13.4803657301 56899.4416658 r.MP9601
224209 1736591p 287 26.7012913947 13.4817288427 56899.5483442 r.MP9601
224209 1741572p 287 25.1316102098 13.3022511324 56918.4552274 r.MP9601
224209 1741583p 287 25.1257004619 13.3008982985 56918.4979485 r.MP9601
