    Object      Image   Exp_time               RA              DEC             time       filter
290310 1715890p 287 243.254424992 -12.6516133126 56802.4809604 r.MP9601
290310 1723390p 287 237.455226227 -11.5922582435 56839.3754252 r.MP9601
290316 1722365p 287 12.618745965 2.67016339959 56833.5966782 r.MP9601
290316 1722512p 287 12.8688048122 2.78742260417 56834.5955377 r.MP9601
290316 1729016p 287 18.4879930319 5.51827792494 56862.5608715 r.MP9601
290316 1729720p 287 18.9068596724 5.74307505832 56865.603386 r.MP9601
290325 1716501p 287 232.096961754 -13.7670215261 56806.3819947 r.MP9601
290325 1716511p 287 232.090210464 -13.7639777793 56806.420851 r.MP9601
290325 1716521p 287 232.083459329 -13.7609341018 56806.4597065 r.MP9601
290325 1721427p 287 228.83817402 -12.2838225842 56829.3734808 r.MP9601
290325 1721437p 287 228.834253455 -12.2819649061 56829.4123624 r.MP9601
290329 1729255p 287 22.9797294986 12.1081724231 56863.5129157 r.MP9601
290329 1729265p 287 22.9871266816 12.1093699068 56863.552106 r.MP9601
290329 1729275p 287 22.995045551 12.1106518429 56863.5940603 r.MP9601
290339 1742026p 287 27.4555465785 14.2770715826 56923.5195562 r.MP9601
290339 1751555p 287 21.820313792 12.4285153772 56952.4248971 r.MP9601
290339 1751565p 287 21.8118373211 12.4252846809 56952.4643225 r.MP9601
290339 1751575p 287 21.8033602238 12.4220537459 56952.5037509 r.MP9601
290339 1751801p 387 21.6067123101 12.3467865633 56953.4208391 r.MP9601
290339 1752104p 387 21.1780116167 12.1802732015 56955.4411329 r.MP9601
290339 1778901p 287 24.8753329983 12.4380800332 57050.2754086 r.MP9601
290340 1751525p 287 26.3970224603 13.5117166412 56952.3027336 r.MP9601
290340 1751536p 287 26.3869740667 13.5079176266 56952.3483218 r.MP9601
290340 1751547p 287 26.3773273109 13.5042704599 56952.3920878 r.MP9601
290340 1751812p 387 26.1389187585 13.4139097519 56953.4764163 r.MP9601
290340 1752114p 387 25.6989498645 13.2449484653 56955.4923615 r.MP9601
290340 1757092p 387 21.3245467007 11.3768859242 56980.2280709 r.MP9601
290340 1757115p 387 21.3089616344 11.3692320482 56980.3611818 r.MP9601
290340 1757540p 287 21.100788074 11.2656459831 56982.2107485 r.MP9601
290340 1757581p 287 21.0837264901 11.2569346453 56982.3732398 r.MP9601
290342 1757888p 287 15.6952312519 3.89592191347 56985.236116 r.MP9601
290342 1757972p 287 15.6502925992 3.86529898875 56986.2322684 r.MP9601
290342 1768988p 287 16.2175250373 3.92285086808 57008.2627153 r.MP9601
290346 1729014p 287 17.1062563076 6.36771915031 56862.5531033 r.MP9601
290346 1729014p 287 17.1062563076 6.36771915031 56862.5531033 r.MP9601
290346 1729715p 287 17.4758873716 6.54653112664 56865.5838032 r.MP9601
290353 1729010p 287 16.2580726979 5.21860899932 56862.5375283 r.MP9601
290353 1729714p 287 16.7729853685 5.35444069278 56865.57991 r.MP9601
290410 1729484p 287 27.3740372981 14.733343752 56864.5297474 r.MP9601
290410 1729495p 287 27.3826293559 14.7367901819 56864.5729779 r.MP9601
290410 1751520p 287 24.9590134381 13.6748142837 56952.2824757 r.MP9601
290410 1751531p 287 24.9496142262 13.6702514387 56952.3272338 r.MP9601
