    Object      Image   Exp_time               RA              DEC             time       filter
317487 1768984p 287 14.9246383897 2.76457196256 57008.2469563 r.MP9601
334800 1751551p 287 22.8774649975 11.7306601844 56952.4093384 r.MP9601
334800 1751561p 287 22.8688659954 11.7292242771 56952.4487985 r.MP9601
334800 1751571p 287 22.8602814529 11.7277907844 56952.4881922 r.MP9601
334800 1751797p 387 22.6621211561 11.6945894302 56953.4005958 r.MP9601
334800 1752059p 387 22.2614775298 11.6267430612 56955.2650762 r.MP9601
334800 1778898p 287 24.0112499894 14.2183832612 57050.2635253 r.MP9601
334815 1778902p 287 25.2774978752 14.0816191896 57050.2793367 r.MP9601
334870 1778499p 387 219.208438278 -13.1436083712 57048.6479896 r.MP9601
334879 1645701p 287 240.037061663 -10.9048620628 56509.2965945 r.MP9601
334905 1778902p 287 25.1864939421 13.8320493201 57050.2793367 r.MP9601
335089 1778496p 387 214.568992124 -13.1128396527 57048.6327179 r.MP9601
335261 1778493p 387 215.10569389 -13.9479260661 57048.6174421 r.MP9601
335437 1671669p 387 20.6201764725 13.169469455 56623.3613715 r.MP9601
335437 1672212p 387 20.2649408493 12.5544195953 56629.2993826 r.MP9601
335437 1672397p 287 20.2263527106 12.4566144829 56630.3429935 r.MP9601
335770 1667592p 287 23.5095475454 14.5773901027 56595.4981113 r.MP9601
335770 1667911p 387 23.1105545091 14.3998294175 56597.5003577 r.MP9601
335770 1671671p 387 19.2281769932 12.3869753025 56623.3715763 r.MP9601
335770 1671721p 387 19.1514731624 12.3364123553 56624.2255554 r.MP9601
335770 1672404p 287 18.7126965933 12.0137517447 56630.3704441 r.MP9601
335770 1681845p 387 19.0010528722 11.5003641301 56656.3046195 r.MP9601
335860 1671721p 387 19.0099879728 12.5207836506 56624.2255554 r.MP9601
335860 1672404p 287 18.7345040841 12.2357377919 56630.3704441 r.MP9601
335860 1681686p 387 19.5549394875 11.8637111947 56655.3070352 r.MP9601
335860 1681688p 387 19.5559400911 11.8638228759 56655.3179014 r.MP9601
336197 1778492p 387 221.809262919 -15.8889892618 57048.612292 r.MP9601
336230 1778497p 387 214.911127167 -10.6870366072 57048.6378056 r.MP9601
336236 1778495p 387 218.061404966 -14.2244241754 57048.6276336 r.MP9601
336339 1671728p 387 22.5192175518 12.8172781164 56624.2699913 r.MP9601
336339 1672406p 287 21.9913366853 12.6092824976 56630.3782648 r.MP9601
336339 1681664p 287 21.9655247271 12.5021374853 56655.2391209 r.MP9601
336339 1681848p 287 22.0399179884 12.5251166889 56656.330251 r.MP9601
336339 1681946p 287 22.2673626044 12.5971571306 56659.2376567 r.MP9601
336339 1681958p 287 22.271464561 12.5984655697 56659.2847605 r.MP9601
336339 1681974p 387 22.2786500225 12.6007575829 56659.367273 r.MP9601
336339 1682226p 287 22.3527904329 12.6245070495 56660.2077138 r.MP9601
336339 1682236p 287 22.3566816203 12.6257687375 56660.2501631 r.MP9601
336339 1682249p 387 22.3624696579 12.6276454648 56660.3133054 r.MP9601
336448 1778492p 387 221.167738163 -16.1377573641 57048.612292 r.MP9601
336494 1778500p 387 213.741104944 -11.892536711 57048.6531132 r.MP9601
336779 1778492p 387 221.811650462 -15.5785860745 57048.612292 r.MP9601
336816 1778493p 387 215.446566464 -14.0501221278 57048.6174421 r.MP9601
336853 1667734p 287 16.2749572005 4.27373951737 56596.2583657 r.MP9601
336853 1667745p 287 16.2688542677 4.26905046051 56596.3013189 r.MP9601
336853 1667756p 287 16.2627839268 4.26438644487 56596.3440427 r.MP9601
336853 1667865p 287 16.1297880748 4.16220868363 56597.2851004 r.MP9601
336853 1667894p 387 16.1118514774 4.14843052124 56597.4136014 r.MP9601
336853 1668258p 287 15.5730949016 3.72838016644 56601.4510565 r.MP9601
336854 1778493p 387 215.301515612 -13.6438676008 57048.6174421 r.MP9601
336854 1778496p 387 215.307294932 -13.6454545799 57048.6327179 r.MP9601
336995 1774989p 387 15.0550841215 3.45023446145 57040.2201836 r.MP9601
336998 1646287p 287 22.7123625715 13.9191007338 56512.551788 r.MP9601
336998 1646298p 287 22.7166392298 13.9198650727 56512.5954645 r.MP9601
336998 1651333p 287 23.3674807097 13.5215905348 56537.4090982 r.MP9601
336998 1651344p 287 23.3653880051 13.5193583165 56537.4527721 r.MP9601
336998 1651488p 287 23.3162982818 13.4681631855 56538.4287822 r.MP9601
336998 1651488p 287 23.3162982818 13.4681631855 56538.4287822 r.MP9601
336998 1651500p 287 23.31381086 13.4656368978 56538.4754214 r.MP9601
336998 1671895p 287 12.9088590682 5.07029255911 56625.2200534 r.MP9601
336998 1672373p 287 13.0374880061 4.92471425104 56630.2471259 r.MP9601
336998 1672373p 287 13.0374880061 4.92471425104 56630.2471259 r.MP9601
336998 1672385p 287 13.0394055806 4.92369945217 56630.2945711 r.MP9601
336998 1672385p 287 13.0394055806 4.92369945217 56630.2945711 r.MP9601
336998 1672746p 387 13.1240432188 4.88660561008 56632.2106863 r.MP9601
337058 1691678p 287 215.19404901 -11.8104372032 56712.5856307 r.MP9601
337058 1691911p 287 215.242577571 -11.8470252342 56713.5552337 r.MP9601
337058 1692332p 287 215.346021517 -11.9461999459 56716.5166955 r.MP9601
337125 1778498p 387 217.715545927 -13.7366311659 57048.642903 r.MP9601
337231 1715385p 287 214.331819906 -11.490646062 56799.4172843 r.MP9601
337231 1722436p 287 212.719094162 -10.2647137072 56834.3092878 r.MP9601
337243 1778494p 387 216.473601601 -14.3939402595 57048.6225432 r.MP9601
337453 1778498p 387 217.694351052 -13.868057519 57048.642903 r.MP9601
337677 1704647p 387 214.212527608 -10.9974492234 56776.3403081 r.MP9601
337677 1704648p 387 214.211343846 -10.9973456792 56776.3453453 r.MP9601
337677 1704655p 387 214.203035542 -10.9966189481 56776.3806998 r.MP9601
337677 1704656p 387 214.201850551 -10.9965152965 56776.3857423 r.MP9601
337677 1704663p 387 214.193552429 -10.995789456 56776.4210535 r.MP9601
337677 1704664p 387 214.192048133 -10.9956578745 56776.4274548 r.MP9601
337677 1704665p 387 214.190845062 -10.9955526413 56776.4325742 r.MP9601
337854 1778499p 387 219.053471242 -13.2207236607 57048.6479896 r.MP9601
337895 1691679p 287 215.965260004 -14.4406656513 56712.5895136 r.MP9601
337895 1691914p 287 215.991513141 -14.4865165886 56713.5724831 r.MP9601
337895 1692333p 287 216.02795096 -14.6123450983 56716.5205759 r.MP9601
338011 1778492p 387 220.995134562 -15.5681007298 57048.612292 r.MP9601
338063 1686655p 500 157.038512429 8.74083338194 56689.539395 r.MP9601
338063 1686656p 500 157.037318078 8.74112795278 56689.545822 r.MP9601
338063 1686657p 500 157.036122984 8.74142270694 56689.552253 r.MP9601
338063 1686658p 500 157.034935509 8.74171558194 56689.558643 r.MP9601
338138 1691673p 287 213.887700019 -13.5086377803 56712.5662232 r.MP9601
338138 1691906p 287 213.902307844 -13.5097222222 56713.5358216 r.MP9601
338138 1692180p 287 213.91061382 -13.5039887712 56715.6466902 r.MP9601
317529 1671731p 387 23.7753980989 12.3950301409 56624.2920804 r.MP9601
317529 1671901p 387 23.7745796644 12.3050668557 56625.2492662 r.MP9601
317540 1667562p 287 22.5625813529 13.8224150321 56595.4077822 r.MP9601
317540 1667589p 287 22.5440376424 13.8153819641 56595.4864128 r.MP9601
317540 1667908p 387 22.0810703477 13.6376966816 56597.4851948 r.MP9601
317540 1681686p 387 19.7005471081 11.8980513673 56655.3070352 r.MP9601
317540 1681688p 387 19.702100081 11.8984739449 56655.3179014 r.MP9601
317584 1722367p 287 12.7199332145 4.70946681051 56833.6044934 r.MP9601
317584 1722514p 287 13.0184948653 4.81223025059 56834.6033394 r.MP9601
317588 1616727p 287 238.523533805 -11.4109669814 56391.5591513 r.MP9601
317588 1616920p 287 238.425780612 -11.347662874 56392.5163751 r.MP9601
317588 1616930p 287 238.421525215 -11.3449722921 56392.5569027 r.MP9601
317588 1617936p 287 237.252207863 -10.7231142227 56401.5577687 r.MP9601
317590 1681685p 387 19.6745740715 10.8407007745 56655.3019637 r.MP9601
317620 1645558p 287 13.8614217 3.16754485716 56508.4982057 r.MP9601
317620 1645753p 287 13.8787714858 3.14197449824 56509.4736546 r.MP9601
317620 1645763p 287 13.8793552738 3.14090422028 56509.5125738 r.MP9601
317620 1646262p 287 13.898640371 3.04915823216 56512.4526219 r.MP9601
317620 1646272p 287 13.8985594281 3.04779839176 56512.4914745 r.MP9601
317620 1645558p 287 13.8614217 3.16754485716 56508.4982057 r.MP9601
317620 1645753p 287 13.8787714858 3.14197449824 56509.4736546 r.MP9601
317620 1645763p 287 13.8793552738 3.14090422028 56509.5125738 r.MP9601
317620 1646262p 287 13.898640371 3.04915823216 56512.4526219 r.MP9601
317620 1646272p 287 13.8985594281 3.04779839176 56512.4914745 r.MP9601
317697 1657932p 287 16.7163722073 5.62260354073 56571.4207897 r.MP9601
317697 1658288p 287 16.0464538513 5.09021085632 56574.5388558 r.MP9601
317700 1645492p 287 244.433029231 -13.0319501923 56508.3047043 r.MP9601
317700 1646365p 287 245.059853056 -13.4562622412 56513.2701088 r.MP9601
317700 1722366p 287 12.3683949088 2.96503813389 56833.600572 r.MP9601
317700 1722366p 287 12.3683949088 2.96503813389 56833.600572 r.MP9601
317700 1722513p 287 12.6194396107 3.03062929878 56834.5994251 r.MP9601
317705 1728798p 287 12.9042473596 5.10369538865 56861.5793118 r.MP9601
317705 1729709p 287 13.5078861204 5.04277981291 56865.5599023 r.MP9601
317707 1617918p 287 243.082032306 -12.6726536936 56401.4841371 r.MP9601
317707 1617931p 287 243.074563238 -12.6693634845 56401.5370154 r.MP9601
317707 1625347p 287 239.474149375 -11.44975248 56420.434309 r.MP9601
317707 1625359p 287 239.462797798 -11.4466163086 56420.4833969 r.MP9601
317707 1625370p 287 239.452657471 -11.4438147769 56420.527247 r.MP9601
317707 1625653p 287 239.218442003 -11.3797724618 56421.5342945 r.MP9601
317707 1625928p 287 238.982043948 -11.3162372834 56422.5398493 r.MP9601
317707 1722739p 287 19.0663733249 5.5669462941 56835.6095012 r.MP9601
317718 1651343p 287 26.6871653279 15.0597704096 56537.4488197 r.MP9601
317718 1651354p 287 26.685701425 15.063567036 56537.4916656 r.MP9601
317718 1651498p 287 26.6476794682 15.1484899576 56538.4676347 r.MP9601
317718 1651510p 287 26.6456215612 15.1524634007 56538.5142288 r.MP9601
317724 1645692p 287 213.476337448 -12.1175143754 56509.2592978 r.MP9601
317734 1778899p 287 24.4474017187 13.6055775032 57050.2674944 r.MP9601
317745 1778894p 287 21.9282724247 11.9013946107 57050.2477537 r.MP9601
317769 1626156p 287 211.939064855 -12.2576274906 56423.4418298 r.MP9601
317769 1626292p 287 211.785043912 -12.1037053543 56424.4396028 r.MP9601
317789 1635442p 287 240.135652043 -10.8490584472 56475.3729157 r.MP9601
317789 1635785p 287 239.871453565 -10.8563900441 56477.3638254 r.MP9601
317792 1729488p 287 28.3215893656 15.9060593819 56864.5454439 r.MP9601
