    Object      Image   Exp_time               RA              DEC             time       filter
15461 1751554p 287 21.7684508393 12.028041232 56952.4210182 r.MP9601
15461 1751564p 287 21.759449076 12.0277017494 56952.460442 r.MP9601
15461 1751574p 287 21.750447718 12.0273622821 56952.499864 r.MP9601
15461 1751800p 387 21.542001761 12.0193595462 56953.4158011 r.MP9601
15461 1752104p 387 21.0848627058 12.0009562817 56955.4411329 r.MP9601
15506 1775272p 387 19.7865202365 12.6276626387 57041.2631838 r.MP9601
15506 1775281p 387 19.7990929567 12.6308952588 57041.3091815 r.MP9601
15506 1778892p 287 22.3668209144 13.3137430529 57050.239849 r.MP9601
15553 1691691p 387 238.377609625 -12.0874374855 56712.6416609 r.MP9601
15553 1692355p 387 239.362140506 -12.0829585717 56716.6232761 r.MP9601
15553 1728594p 287 230.21569006 -10.9745632524 56857.2860573 r.MP9601
15580 1630539p 287 238.200627207 -13.1312569841 56447.3849994 r.MP9601
15580 1630868p 287 237.800191991 -13.0034419348 56449.3883813 r.MP9601
15619 1722734p 287 16.4585400225 5.91170462075 56835.5900355 r.MP9601
15619 1722897p 287 16.7637679396 6.04170185858 56836.5951006 r.MP9601
15628 1757795p 500 45.7260820884 15.6766126177 56984.3910349 r.MP9601
15654 1657314p 287 11.2684511815 4.41286356757 56567.4268531 r.MP9601
15654 1657652p 287 10.7623024892 4.13062264291 56570.3634638 r.MP9601
15654 1657920p 287 10.5884920064 4.03379834633 56571.3719593 r.MP9601
15654 1657936p 287 10.5774129151 4.0276283923 56571.4363414 r.MP9601
15654 1658018p 287 10.4188338692 3.93933201348 56572.3587347 r.MP9601
15667 1692652p 387 237.649945572 -12.1009039876 56722.5458295 r.MP9601
15667 1698711p 387 239.156699314 -11.0772660656 56751.5200113 r.MP9601
15684 1728798p 287 13.429589278 4.55916480156 56861.5793118 r.MP9601
15684 1729706p 287 13.9297241404 4.67885167093 56865.5479782 r.MP9601
15684 1734919p 387 14.9707162104 4.46153424373 56891.6134852 r.MP9601
15684 1736201p 287 14.6910112531 4.21287717071 56896.6151353 r.MP9601
15695 1691674p 287 214.559470363 -11.7705996578 56712.5701027 r.MP9601
15695 1691907p 287 214.551878084 -11.7663182293 56713.5397039 r.MP9601
15695 1692181p 287 214.515778237 -11.7507028622 56715.6505969 r.MP9601
15695 1698082p 287 211.756215464 -10.8199295768 56742.5108342 r.MP9601
15695 1698183p 287 211.594813588 -10.7668939304 56743.4167376 r.MP9601
15743 1722737p 287 17.5569859525 6.37255824678 56835.6017126 r.MP9601
15743 1722900p 287 17.8406542816 6.47127314283 56836.6067708 r.MP9601
15743 1768988p 287 16.2368682489 3.6202120361 57008.2627153 r.MP9601
