    Object      Image   Exp_time               RA              DEC             time       filter
59694 1692670p 387 247.838987853 -17.1875059781 56722.636581 r.MP9601
59694 1692844p 387 248.053957784 -17.2136292642 56723.6112142 r.MP9601
59721 1716716p 287 234.987190969 -13.8709228919 56807.4017374 r.MP9601
59721 1716970p 287 234.754060306 -13.7592066346 56808.4397295 r.MP9601
59721 1717107p 287 234.557114806 -13.6648996561 56809.3281299 r.MP9601
59721 1717118p 287 234.547665114 -13.6603690638 56809.3711646 r.MP9601
59721 1717129p 287 234.53824658 -13.65585341 56809.4140573 r.MP9601
59721 1721422p 287 231.044324505 -11.9605839513 56829.3540808 r.MP9601
59721 1721432p 287 231.039678378 -11.9582096243 56829.3929334 r.MP9601
59721 1728593p 287 230.228051589 -11.2458056793 56857.2821588 r.MP9601
59778 1686656p 500 157.133069989 9.00461065778 56689.545822 r.MP9601
59778 1686657p 500 157.13177575 9.00486789778 56689.552253 r.MP9601
59778 1686658p 500 157.130489763 9.00512349778 56689.558643 r.MP9601
59818 1722739p 287 18.1683935122 5.55531763156 56835.6095012 r.MP9601
59818 1723121p 287 18.7983780586 5.76764346513 56837.5851217 r.MP9601
59825 1717291p 287 244.587250125 -14.1082949393 56810.4651057 r.MP9601
59825 1723393p 287 239.813328138 -13.5123833388 56839.3871415 r.MP9601
59825 1728437p 287 238.498576091 -13.6282640325 56856.3611193 r.MP9601
59857 1615937p 287 215.219902687 -12.4903542006 56386.5386638 r.MP9601
59857 1616320p 287 214.735948353 -12.3577932719 56389.4031826 r.MP9601
59857 1616331p 287 214.728372463 -12.3557171867 56389.4468896 r.MP9601
59857 1616507p 287 214.555738797 -12.3082731119 56390.4355246 r.MP9601
59857 1616518p 287 214.547767682 -12.3060746169 56390.4807507 r.MP9601
59878 1752204p 287 18.0249808516 4.03264350789 56956.4609354 r.MP9601
59878 1752374p 287 17.8565187344 3.90987103869 56957.4027306 r.MP9601
59898 1645759p 287 11.1433717612 1.51926105594 56509.4970527 r.MP9601
59898 1645772p 287 11.1502039078 1.52257361185 56509.5502902 r.MP9601
59898 1646268p 287 11.4879504771 1.69039681295 56512.4759396 r.MP9601
59898 1646278p 287 11.4919293583 1.69244555939 56512.514758 r.MP9601
59898 1651059p 287 11.4317740263 2.0551685527 56535.5610168 r.MP9601
59898 1651169p 287 11.3326681948 2.03609269654 56536.4465818 r.MP9601
59898 1651179p 287 11.3281416302 2.03519495494 56536.48552 r.MP9601
59898 1651846p 287 10.8051962241 1.92401302257 56540.4260588 r.MP9601
59898 1651856p 287 10.7993985495 1.9227066564 56540.4649259 r.MP9601
59900 1691931p 387 241.787244807 -12.5981870548 56713.6518574 r.MP9601
59900 1692666p 387 243.190335295 -12.2338399228 56722.6164277 r.MP9601
59900 1692840p 387 243.320984942 -12.1871015811 56723.5910532 r.MP9601
59917 1715396p 287 212.72063965 -12.0990378491 56799.4615478 r.MP9601
59917 1715884p 287 212.297871392 -11.9102831895 56802.4540391 r.MP9601
59917 1715885p 287 212.29731931 -11.9100355479 56802.4581286 r.MP9601
59959 1698691p 287 218.027528687 -14.1714421495 56751.4351321 r.MP9601
59959 1698701p 287 218.020575786 -14.1719983816 56751.4743956 r.MP9601
59959 1698856p 387 217.826137419 -14.1869010022 56752.5592418 r.MP9601
59993 1715408p 287 244.366603908 -14.1785662741 56799.5102602 r.MP9601
59996 1691675p 287 215.610377362 -12.7349503396 56712.5739825 r.MP9601
59996 1691908p 287 215.615108957 -12.7150400354 56713.5435828 r.MP9601
59996 1692182p 287 215.607878805 -12.6653990412 56715.6545434 r.MP9601
59996 1698185p 287 213.250740204 -11.2032468103 56743.424596 r.MP9601
59996 1698186p 287 213.25000205 -11.2028780611 56743.4293202 r.MP9601
59996 1698192p 287 213.246879826 -11.2013183368 56743.4493024 r.MP9601
60003 1715378p 287 211.001470652 -13.7743730137 56799.3893833 r.MP9601
60003 1715380p 287 210.999713555 -13.7739459901 56799.3977838 r.MP9601
60019 1692341p 387 243.32395996 -14.951739371 56716.5526474 r.MP9601
60019 1692668p 387 243.871992717 -14.7796754693 56722.6265028 r.MP9601
60019 1692842p 387 243.945834349 -14.7485185935 56723.6011373 r.MP9601
60019 1698710p 387 244.27276178 -13.4849848167 56751.5149738 r.MP9601
60019 1698722p 387 244.269153438 -13.4810589401 56751.584254 r.MP9601
60019 1698723p 387 244.268791609 -13.4806652711 56751.5912011 r.MP9601
