Object	Image	Exp_time	RA	DEC	time	filter
272579	1671725p	387	23.0806217561	11.6190801962	56624.2458999	r.MP9601
272579	1671727p	387	23.0787082458	11.6185161588	56624.2648769	r.MP9601
272579	1681948p	287	23.6471213334	12.0031010581	56659.2454555	r.MP9601
272579	1681960p	287	23.6532025129	12.0055073743	56659.2925356	r.MP9601
272579	1682228p	287	23.7736750369	12.0531596854	56660.2154941	r.MP9601
272579	1682238p	287	23.779403153	12.0554226448	56660.2579246	r.MP9601
272579	1682251p	387	23.7882423761	12.0589146836	56660.3234003	r.MP9601
272600	1778495p	387	218.512654779	-14.2801007234	57048.6276336	r.MP9601
272647	1671722p	387	21.4016995797	11.9814777238	56624.2307323	r.MP9601
272647	1672405p	287	21.3910781938	11.4824086281	56630.3743212	r.MP9601
272648	1671902p	387	24.223825836	12.980245605	56625.254395	r.MP9601
272648	1672411p	287	23.7771255864	12.7240226868	56630.3982059	r.MP9601
272648	1681670p	287	23.9969013389	12.3671558507	56655.2635904	r.MP9601
272648	1681856p	387	24.0944072376	12.3851733933	56656.3691284	r.MP9601
272648	1681939p	387	24.3756473264	12.4433489946	56659.2051861	r.MP9601
272648	1681952p	287	24.3817563282	12.4447221547	56659.2613609	r.MP9601
272648	1681964p	387	24.387409373	12.4459928263	56659.3133429	r.MP9601
272648	1682231p	287	24.4880172699	12.46877224	56660.2271586	r.MP9601
272648	1682241p	287	24.4928620866	12.4698920881	56660.2695949	r.MP9601
272648	1682245p	387	24.4952903564	12.4704533671	56660.2908644	r.MP9601
272662	1645245p	287	17.1638518893	6.09620321946	56506.5435278	r.MP9601
272662	1645256p	287	17.1657917134	6.09752016426	56506.5862396	r.MP9601
272662	1650815p	287	16.3506323112	6.19251204976	56534.4489508	r.MP9601
272662	1651032p	287	16.2414548827	6.16671798503	56535.4517036	r.MP9601
272662	1651047p	287	16.234630379	6.16507739802	56535.5125914	r.MP9601
272662	1651048p	287	16.2341067124	6.16495151037	56535.5172635	r.MP9601
272662	1651679p	287	15.7545460028	6.04406311741	56539.43153	r.MP9601
272662	1651690p	287	15.7488304364	6.04256278123	56539.4743967	r.MP9601
272662	1651696p	287	15.7445626861	6.04144249677	56539.5064049	r.MP9601
272666	1778497p	387	215.770868571	-11.0294163529	57048.6378056	r.MP9601
272679	1671731p	387	24.0360333426	12.0356957573	56624.2920804	r.MP9601
272679	1671901p	387	23.9782698304	11.9858700224	56625.2492662	r.MP9601
272690	1671903p	387	23.697867203	14.693680241	56625.2594585	r.MP9601
272690	1672413p	287	23.2917064952	14.3785539216	56630.4060294	r.MP9601
272690	1672609p	387	23.237753332	14.3295982209	56631.2992	r.MP9601
272690	1681671p	287	23.602541512	13.7058721643	56655.2674739	r.MP9601
272690	1681672p	287	23.6029314614	13.7058822601	56655.272017	r.MP9601
272690	1681673p	287	23.6033343718	13.7058926914	56655.2767111	r.MP9601
272690	1681857p	387	23.6994034402	13.7090590263	56656.3741663	r.MP9601
272690	1681949p	287	23.9807665251	13.7293682148	56659.2493737	r.MP9601
272690	1681961p	287	23.9857843917	13.7298778419	56659.2964162	r.MP9601
272690	1681962p	387	23.9864726268	13.7299477407	56659.3028684	r.MP9601
272690	1682229p	287	24.0854215228	13.7403640518	56660.2193742	r.MP9601
272690	1682239p	287	24.0901773239	13.7409180113	56660.2618051	r.MP9601
272690	1682252p	387	24.0979013921	13.7418177169	56660.3307187	r.MP9601
272690	1682253p	387	24.0985669062	13.7418952365	56660.3366564	r.MP9601
272690	1682254p	387	24.0992517591	13.7419750087	56660.3427666	r.MP9601
272690	1682255p	387	24.0999421748	13.7420554289	56660.3489265	r.MP9601
272756	1616722p	287	238.192111968	-12.8527859746	56391.5394098	r.MP9601
272756	1616918p	287	238.08781437	-12.8391850578	56392.5085057	r.MP9601
272756	1616928p	287	238.083369246	-12.8386125796	56392.5489159	r.MP9601
272756	1617934p	287	236.898701906	-12.6977816502	56401.5497677	r.MP9601
272774	1645243p	287	17.2900908197	4.13580384461	56506.5357395	r.MP9601
272774	1645254p	287	17.2926890787	4.13626654827	56506.5784506	r.MP9601
272774	1651043p	287	16.7610913831	3.55398947615	56535.4952369	r.MP9601
272774	1651044p	287	16.7606194918	3.55374717166	56535.5000563	r.MP9601
272774	1651045p	287	16.7601594654	3.55351095952	56535.5047544	r.MP9601
272778	1672381p	287	15.6839052024	4.5915631984	56630.2790396	r.MP9601
272778	1672394p	287	15.6836225635	4.59175162432	56630.331219	r.MP9601
272778	1672601p	287	15.6802141566	4.59566576273	56631.2569879	r.MP9601
272778	1672603p	387	15.680221228	4.5957152626	56631.2654736	r.MP9601
