x y flux a b
221.153223221 5.25747687288 3081.82971191 0.749756455421 0.656877994537
894.855370601 6.64681118303 4627.49853516 0.860219478607 0.713121056557
33.9665906044 11.177566668 38358.6595459 1.80328226089 1.60516285896
814.087876988 13.6473655148 2896.65637207 0.687666296959 0.627620339394
88.8074526305 16.1187066111 8228.07824707 1.21820998192 1.04223453999
892.240283746 33.4043622888 3936.61621094 0.752080917358 0.453738749027
211.059452791 29.6939681721 211919.039551 2.24110889435 2.03679943085
23.5007186507 47.0053058717 12064.8642578 1.46657252312 0.908593416214
965.766950209 56.0246771906 98811.5317383 2.03433799744 1.87858831882
171.452141452 63.4811386312 8804.69238281 0.934660792351 0.903890013695
713.237084565 75.7756726901 35576.3232422 1.74270904064 1.58560883999
616.875454371 82.1983897028 2205.90600586 0.745907187462 0.542894482613
913.553389514 88.1614052218 13565.0582275 1.40665876865 1.17135858536
180.869573598 90.1242589667 6072.9128418 1.14290964603 0.722633063793
584.285410175 103.290240377 2602.65356445 1.56084120274 0.422125726938
161.48957361 107.255061371 6942.69616699 1.01213014126 0.963846087456
501.376316463 117.450559077 12485.8087158 1.40497255325 1.23483455181
224.110877943 129.814893228 19273.7484131 1.52621817589 1.39859902859
333.53498762 138.71416636 34913.5581055 1.75712740421 1.59602129459
386.181369427 147.51509358 9005.44104004 1.04904675484 0.815762758255
636.978784011 150.979884089 1671.95373535 0.586716592312 0.579589784145
337.957074 180.548201948 53551.026001 1.86303818226 1.63021802902
375.468325402 198.472606996 13025.6328125 1.38067138195 1.18296146393
516.215926637 203.388388358 12955.7186279 1.34056007862 1.25473988056
351.347085119 208.427513806 2931.46337891 0.838631391525 0.528898835182
729.878142899 221.858605995 21637.0849609 1.53060781956 1.33879542351
19.5931770695 244.55171944 86636.763916 2.02583837509 1.80165493488
384.985492116 247.682380348 5234.02490234 0.750776529312 0.675566852093
88.9896250325 249.001413807 5169.92297363 0.708000838757 0.707377433777
264.979127711 250.394867893 8753.8482666 1.25237584114 1.10429120064
136.495857982 265.040921673 6414.63525391 1.06305301189 0.788580358028
741.219505945 261.817173925 1689913.71509 2.8652472496 2.66468715668
526.522730159 282.630955352 387551.612793 2.3673453331 2.20696139336
715.351416111 296.93206627 9909.19006348 1.37739300728 1.11388373375
65.7147898435 297.341947597 16934.9088135 1.52541184425 1.3468747139
284.748373636 307.95907933 21733.6755371 1.54063332081 1.48531782627
41.9644108282 319.007009459 6649.87463379 0.793845355511 0.782234728336
477.845787966 311.037824931 1505097.18262 2.77576351166 2.58145236969
877.332691676 320.250989116 103665.043579 2.01463723183 1.82608032227
565.507480463 330.703344651 10380.0394287 1.28147625923 1.12173771858
214.22078525 330.994995283 21944.482666 1.54090809822 1.45044004917
887.4516379 340.356025948 4756.67224121 1.01676213741 0.630420327187
706.730908462 352.678150356 22450.5675049 1.54123437405 1.42193305492
362.22995066 372.859467279 1905.68945312 0.713099062443 0.550216972828
82.2005791124 369.973745722 79699.6464844 1.96827161312 1.80855989456
739.513278029 376.209125654 11656.6810303 1.36988556385 1.10470926762
207.795954311 387.532132581 82816.9783936 2.17627906799 1.76353883743
39.8156204002 390.012457476 4007881.72754 3.61520886421 3.51580929756
684.321596332 431.858170788 5436.25195312 0.921523988247 0.687982559204
431.790204888 431.558122187 665413.800049 2.51697063446 2.33232855797
830.602217212 445.450385467 35893.4232178 1.68734371662 1.56959307194
572.018523105 447.18513244 14495.7219238 1.52989411354 1.28033924103
341.144076215 474.425819806 9051.31616211 1.2847635746 1.01188087463
230.015976397 478.975360924 4979.09362793 0.721805155277 0.706372320652
481.318507393 478.960922125 124078.779419 3.75930261612 1.85244095325
668.315785556 484.975969984 10142.0133057 1.28216254711 1.19775176048
680.732451003 501.470824721 168760.524902 1.37591385841 1.20406377316
292.65383235 507.911532072 2679.24255371 0.699890673161 0.634884178638
459.361708588 515.579045615 2147040.73853 2.20995569229 1.01017153263
691.33882324 511.938632606 143837.653076 2.11630344391 1.91964006424
781.303072947 522.52715038 26552.4361572 1.6211874485 1.47028231621
486.251200924 516.688666965 2039521.61816 2.99499320984 2.8031873703
271.294661564 539.823115285 58102.418457 1.89036786556 1.70306229591
811.590101976 565.816328482 12048.111084 1.41744947433 1.18022596836
395.190445509 564.455043695 65680.9145508 1.92925035954 1.76309037209
344.769213894 583.13439075 13932.1386719 1.19582247734 1.16908228397
423.991701633 586.036312323 1885.73693848 0.593317806721 0.573711693287
65.0884495761 588.429436771 21903.5400391 2.11450695992 1.31399393082
653.7912954 588.537912391 42585.3916016 1.76772928238 1.60233473778
879.239406708 593.16500825 103172.774536 2.02846503258 1.86477291584
792.53824833 608.679709115 489926.39624 2.41527962685 2.23792743683
865.557846526 620.473371611 51304.4394531 2.72618198395 0.969050943851
769.450638617 631.751382073 24700.6152344 1.64130878448 1.47798585892
629.716981463 637.539873599 107867.052734 4.54665708542 1.73404550552
461.48438605 641.719406613 26576.7194824 2.07624936104 1.45160877705
498.649149988 642.304561216 48157.3726807 1.83860349655 1.67476654053
