x y flux a b
292.498856545 16.8321359853 5661.16955566 0.883050918579 0.85348379612
126.623929033 22.2419695 9988.56726074 0.898187816143 0.796354115009
262.429307741 29.1697468068 8890.24645996 1.4098585844 1.29700469971
359.99850108 37.920303775 1562.04821777 0.596673607826 0.569562256336
674.059823325 36.1740791756 91983.3934326 1.70079827309 1.63025057316
395.835242959 43.3111789531 28196.2376709 1.48605906963 1.4109133482
303.494414533 54.9721535283 2639.91796875 0.73618966341 0.677741706371
386.590184222 57.8845985721 8588.2454834 0.882160186768 0.809771716595
65.599152368 77.363347987 11178.6986084 2.02272105217 0.985398471355
230.927943451 81.2535628903 2157.47070312 0.723620355129 0.640867352486
525.988106255 111.983619113 1268.99060059 0.585021734238 0.572898209095
416.996330089 125.499330967 3232.82824707 0.787570595741 0.499994307756
391.968281777 126.925931396 1628.73193359 0.594823896885 0.569597303867
240.024215737 153.971893922 2694.56494141 0.70925796032 0.703502357006
235.940792125 166.977641449 2963.75134277 0.740332186222 0.712555170059
580.054556251 184.657240062 5062.08496094 0.898788034916 0.691796720028
375.185669269 189.839886827 11710.7940674 0.697143912315 0.649658799171
370.92450104 192.381555835 11546.9868164 1.24081492424 1.1903911829
6.892162504 196.363722986 1921.41601562 0.91267901659 0.689179003239
281.517240564 207.938432428 3245.55065918 0.785524725914 0.499625325203
680.650269785 214.133107911 8099.80297852 1.11957204342 1.01214277744
187.922333378 225.166617706 12861.6304932 1.25973081589 1.15558898449
758.508639493 234.498521656 8262.32470703 0.972942590714 0.413935154676
419.03347546 241.957195076 1403.85571289 0.586580574512 0.581478953362
689.045044134 260.305115195 4311.70495605 0.736752986908 0.67793995142
292.826202701 263.557765961 12113.5755615 1.27520632744 1.2529181242
388.034453898 286.555860164 2101.39196777 0.769818782806 0.494231909513
656.153549139 288.548540076 6260.33972168 1.02279317379 0.878004848957
627.074131717 292.291435107 7485.36779785 1.02378833294 0.754340171814
61.6333911814 298.294826755 48311.473877 1.5906124115 1.52618741989
126.990697901 303.015490163 1827.05322266 0.5836378932 0.57893037796
417.22962938 395.644661357 81001.4880371 1.74323916435 1.64367198944
746.71990593 404.269900688 620077.702148 2.07411289215 1.99805366993
105.162874847 409.046342921 48160.022583 1.62582993507 1.52332079411
74.246723745 413.008249077 4029.20654297 0.783879518509 0.704440236092
530.942587208 423.983042067 71988.7194824 3.71881604195 2.06151795387
175.627619994 438.944115365 2861.66870117 0.971183419228 0.623555004597
735.865486664 437.899706116 44689.7564697 1.58857667446 1.51960408688
552.036359763 444.18883027 9791.63659668 0.817782223225 0.702329277992
629.407238518 444.769562261 2875.40002441 0.738351106644 0.456830561161
268.483915848 468.934338538 143744.161743 1.78599739075 1.71483826637
569.026116104 490.010700594 1607.97351074 0.584961891174 0.582735300064
52.0070657995 493.259559668 19625.6990967 1.42561340332 1.32168889046
99.4981998216 510.500881461 124951.886963 0.863939166069 0.86070805788
268.003196631 513.187008824 13880.4105225 0.823572099209 0.510136604309
595.968012808 515.746928173 2321.33898926 0.695203602314 0.648716688156
138.311263978 549.840366593 14846.2358398 0.907764732838 0.833130002022
342.169869719 554.129776529 3131.34082031 0.754577755928 0.570895016193
540.192843208 556.335340659 214181.946533 1.88070392609 1.80752027035
18.9384610336 577.687836865 5036.85253906 0.748228490353 0.673211395741
757.467909224 581.644101439 9110.79138184 0.977118074894 0.836102604866
676.802031754 602.832035552 1708.2467041 0.712267398834 0.552939713001
328.155843711 613.369553471 12944.6037598 1.32851743698 1.23773944378
301.494911537 615.88691518 14178.5701904 1.279722929 1.2024409771
69.8886344772 616.162685205 26239.4995117 1.56868445873 1.44843924046
373.017405846 631.968579107 13149.0809326 1.29411673546 1.18430817127
590.015263495 634.002139219 10910.8417969 1.28851878643 1.0791913271
678.72532125 645.363319867 5023.10058594 0.86888730526 0.805049479008
473.260130829 654.70010226 24219.0666504 1.43945419788 1.3625998497
529.849858416 648.967550123 3030482.86804 3.04500865936 2.89966845512
198.74540718 662.341138455 32045.2015381 1.5325152874 1.43592393398
671.794376122 672.198982387 3370.40588379 0.748797416687 0.565312027931
349.0115499 676.514759013 1945.76306152 0.756016075611 0.499154895544
222.986539246 682.245034793 34642.2479248 1.51770472527 1.43931853771
448.809188521 697.53122529 2208.32373047 1.10273098946 0.557669222355
647.557951248 717.237488156 5717.28845215 0.978982627392 0.95235234499
725.011660909 718.246035555 45967.4680176 4.10281181335 1.68449389935
456.728398092 740.218201677 2074.58044434 0.717460811138 0.539957225323
608.169767255 746.096740869 38799.0853271 2.61421108246 2.3944041729
107.166408755 755.11835218 2521.85876465 0.738768279552 0.650290071964
