x y flux a b
50.0591329906 1.47037858907 13842.9068604 1.13823878765 0.830060899258
472.495314218 5.7519078668 64566.8164062 4.08773708344 1.0777630806
490.000130303 5.4399007997 406281.747803 2.03274583817 0.7078307271
490.000055487 13.7142652071 556838.42572 1.89095342159 0.707656502724
474.307075775 24.5130756164 1095466.99225 2.07956552505 1.34157109261
658.488155755 46.0140950373 5529.2010498 0.803246498108 0.499856263399
379.042753168 103.34417506 17995.2174683 1.84858345985 1.80820667744
251.168733163 114.084890801 49654.0380249 4.19606781006 1.97617912292
450.390589757 119.586375393 25710.1050415 1.79971134663 1.68994617462
626.635195182 133.045558176 1687.15393066 0.683923840523 0.641123116016
490.000196348 72.4387867619 1092839.09137 2.86808204651 0.697115719318
490.000052118 79.9580073699 503515.538147 0.971281707287 0.707198023796
490.000726756 28.4276869558 631718.190308 1.2775888443 0.70794993639
490.000182895 35.959978723 441563.630615 1.01591992378 0.707461237907
489.999763718 41.6932733697 517365.427979 1.46301734447 0.70719319582
490.000189326 108.005442312 557641.494507 1.27201259136 0.705272972584
489.999813404 115.437855906 892665.255188 1.9322271347 0.708119094372
490.003823593 53.590620109 2078701.43945 4.86652088165 0.720584988594
490.000123462 128.985491458 812325.331848 2.01633954048 0.707145512104
490.000420358 24.0087812617 146782.695618 0.71771556139 0.707011818886
489.999754703 87.1496631033 647478.911011 1.36012983322 0.70718318224
489.99972081 137.837318123 668246.941956 1.33243787289 0.706402719021
490.000064875 100.250540437 859817.018799 2.16518354416 0.706826925278
277.993013118 143.986982235 931.016662598 0.582527399063 0.577410519123
490.000370185 148.481205395 906889.216187 1.64007246494 0.706733644009
240.666480412 165.950792038 11853.6173706 1.88133955002 0.879521310329
183.308929153 165.196250086 26467.5977783 2.52293896675 2.05505180359
519.717903955 174.867411446 3328.50030518 2.12788009644 0.687233865261
124.945390116 210.349237121 1861.16607666 0.702958166599 0.629616498947
37.2334163659 196.773111904 12798614.0862 1.64008939266 0.842467546463
38.0 206.993404877 7889831.55145 2.89834046364 0.737127184868
37.6685316894 179.485610193 30838424.7785 3.20742940903 0.766904830933
37.9121449051 188.946875984 8288431.05951 1.44160795212 0.741868913174
704.738554189 255.616637958 1502.7277832 0.887066245079 0.488539099693
436.319735408 257.889044726 17449.7642212 2.25391316414 1.27511227131
329.99371657 279.000360565 1042.23278809 0.587260961533 0.585545659065
617.485009555 296.221621667 4823.63128662 1.13357400894 0.731793105602
531.801365187 301.023443637 1890.09008789 0.671064794064 0.641906440258
139.274296797 291.862845152 2603424.35126 3.35965037346 3.11017513275
490.000187286 200.841013348 874381.302185 2.2031314373 0.688208341599
490.000285517 206.488903461 299350.44104 1.38633346558 0.725754439831
