x y flux a b
279.762916725 1.34213214766 2878.32702637 1.32195496559 1.00146281719
75.1556935384 2.52619097417 3407.69488525 1.35295319557 1.10635840893
305.489319387 5.00016602148 6536.08319092 1.2862278223 0.96233767271
373.220576992 6.56035794048 1212535.12207 2.54332232475 2.39259433746
227.202011588 13.396700119 97907.3446045 2.10781502724 1.91387653351
240.852768154 18.3558415855 62171.0460815 1.38467299938 1.15438807011
343.744529243 40.0162884551 2286.43719482 0.67458152771 0.639806628227
378.066517797 63.992081366 2819.33752441 0.753761351109 0.719600975513
161.245019387 59.701363547 131913.831848 2.17863273621 1.97020864487
117.849397863 65.2497577334 234675.959595 2.28924560547 2.09407353401
208.142118589 79.3263605758 5201.95147705 0.932628393173 0.688159048557
359.277510272 79.604352122 2503.96264648 0.928124845028 0.557964980602
307.671284726 88.1813693456 29009.1943359 1.80850017071 1.59074485302
393.619188025 108.368550864 16451.2492676 1.64411723614 1.37258768082
91.8378198266 122.52787155 4698.16235352 1.07899975777 0.731499195099
139.23051778 125.025402279 148411.047241 2.19667649269 2.00563025475
384.973991095 159.94886177 1387.40594482 0.588085591793 0.580213546753
230.973885361 193.958945197 19786.1121216 1.64987099171 1.45238530636
356.924945444 195.636657487 3428.86437988 0.807640910149 0.656794369221
81.8048019696 195.067881845 14420.2025146 1.86448681355 1.68710160255
259.413655136 194.776238192 48566.4630127 1.95994412899 1.76378238201
405.381845474 204.699713068 11521.0686646 1.50195074081 1.2773116827
316.754014758 219.008471951 1745.35461426 0.670153319836 0.648126125336
158.632681741 223.976439944 8574.05664062 1.24971318245 1.0212688446
217.981984438 225.033435238 3337.14501953 0.711918711662 0.702286541462
181.195258497 239.933255885 5172.14459229 1.58544719219 1.40977752209
237.60697131 274.117958666 1618.0413208 0.676268219948 0.453265011311
363.408534325 287.544087086 2626.07287598 1.359998703 0.630201220512
385.452827799 321.551862164 44649.1480103 1.89897525311 1.74887573719
183.5310738 372.967257318 29724.7803345 1.80609476566 1.61356294155
383.162628175 405.888187197 1793.10235596 0.709987521172 0.555561900139
251.819035917 407.53724905 14635.5194702 1.51275777817 1.29297792912
372.831297975 422.199717928 1534.39782715 0.723799049854 0.544856548309
342.67895351 426.947135067 3238.22924805 1.19968616962 0.620819211006
52.6039326891 424.9174746 12171991.5918 2.46173882484 2.28842616081
149.401507977 441.647714774 22529.4674072 1.71330678463 1.54444515705
