x y flux a b
39.2023704597 20.0063712281 55267555.4478 2.31889915466 2.13251328468
72.8290053336 50.9420304681 2475.31506348 1.64183068275 1.46405494213
313.812061931 89.674420194 1623.71490479 0.746752977371 0.437298476696
207.149291829 105.407419769 22806.7891846 2.79432845116 0.75203192234
208.327836643 118.567845293 48825.4711304 3.43935775757 1.71601843834
81.9479522468 156.1484847 3618.09710693 2.0593919754 1.65084195137
139.369879394 167.802835 1431.53808594 0.695688724518 0.455664426088
229.940807318 166.494971394 46244.9790649 2.48805546761 2.24287509918
318.580671076 197.153373864 4197.784729 1.1650800705 0.615451812744
318.932345425 208.616915084 22135.0257568 1.7880333662 1.58435320854
95.2236712608 222.556667268 24279.9865112 2.25616359711 2.06662464142
242.464046015 293.095557899 12598.598877 1.25393533707 1.00572991371
285.148870254 331.190366207 38079.2775879 2.377140522 2.11160540581
90.0047512095 362.944182032 1262.8470459 0.579958736897 0.573843002319
72.7913528786 376.485786832 2063.05114746 1.43748116493 1.40848243237
202.973361093 382.899893703 526368.530396 3.50627040863 3.32479834557
328.591997294 393.63650718 6353.16107178 1.57920455933 0.642832517624
141.559314005 417.288486082 29462.6574707 2.30839967728 1.92194759846
43.2585365029 480.715913538 77015392.1299 2.55834150314 2.44619059563
64.9965360122 511.082111182 14314.3370361 1.69837510586 1.19630587101
123.139523421 537.918577479 35652.8041382 2.54529857635 2.17696857452
189.00557242 589.387800977 17767.2896729 1.89795720577 1.63786017895
111.134737464 636.301180165 724539.020935 3.68713927269 3.54624819756
212.548452651 751.733267794 16869.151123 1.83241355419 1.4549883604
17.0676179426 74.8799075281 651237405.508 51.7022399902 9.06310462952
16.5616204444 246.764349861 651394171.899 38.1075935364 9.08777523041
15.8991836024 398.158264717 756112086.386 51.9330406189 9.14269256592
16.2776955493 634.897011566 756071190.803 83.8785324097 9.08102989197
1.1945989847 40.3058864735 23632.5026855 2.81569004059 1.09137809277
245.96285685 70.9985439404 2874.69519043 0.703156650066 0.690967202187
99.1360132067 112.021285047 9538.68395996 1.06018269062 0.888243198395
92.7264611249 138.779945956 32091.4208984 2.26989841461 1.99265992641
213.012029948 146.678578274 2127.18493652 0.674022436142 0.654619455338
11.6684646296 188.981294344 2715.79052734 0.685499370098 0.637853980064
243.89769231 259.570435468 3528.7722168 0.992231607437 0.654809355736
275.931733677 296.444854059 3469.54223633 0.707224667072 0.664682030678
264.268563339 320.182401245 2132.29736328 1.22562372684 0.942249894142
208.736175196 327.014432721 2548.01904297 0.672947049141 0.643983483315
34.6280214444 381.862043985 137821.108398 2.95859074593 2.76745057106
127.784070137 404.668099847 83306.9838867 3.15933680534 2.96843147278
159.37592689 450.512188519 28510.352417 2.21519327164 1.92957055569
230.899848131 468.429561603 2666.2935791 1.51552212238 1.2373957634
137.420117636 470.765717084 71359.1199951 2.64624023438 2.44714617729
141.745995126 653.006175085 20778.336792 1.80640363693 1.61374950409
254.83716737 664.099615977 3656.72546387 0.729939877987 0.63713234663
324.324574286 336.635781285 598501649.171 227.833831787 14.1383161545
327.946195183 526.779188988 204323005.114 9.6254529953 7.22920703888
290.204418479 473.15920726 6266756.5144 5.36316347122 4.55357408524
386.26462494 80.1052155046 457279496.073 45.0468521118 8.9328546524
387.538347869 196.574982162 377818943.939 24.7983093262 8.9175863266
385.405919464 365.147366904 581681698.082 71.8047409058 9.03041648865
386.03153701 621.219379303 590011147.272 75.545135498 9.04236507416
388.90722706 762.550344739 81552063.2431 9.77524662018 7.10563325882
