x y flux a b
145.021241575 1.19745891159 85622.6129761 2.46257925034 1.30206632614
241.552604397 10.7773544492 4396.15704346 0.962934792042 0.730124294758
156.16440953 22.5678658645 7611.02996826 1.22861886024 1.01078665257
46.8197244926 35.2683542651 5036.05737305 1.29196488857 1.24512338638
305.519531084 89.049622752 4237.73803711 1.3096549511 0.499479681253
291.875180161 111.122263518 1777.48339844 0.687977254391 0.551903963089
37.3621133367 115.825923116 24834142.2254 1.39463150501 1.28744089603
212.008512701 134.106745437 9612.99243164 1.27024209499 1.15093004704
298.019072313 160.023270179 2276.63653564 0.721735835075 0.70884257555
210.153625479 168.21905105 1855.65802002 0.722933888435 0.549422025681
48.1698064607 195.54972146 3879.47021484 1.3054267168 1.20425629616
234.50607335 201.978264896 8080.97790527 1.05522227287 0.796363949776
214.83979039 202.250019753 395111.15686 2.35900688171 2.28278660774
247.997991927 213.027274532 1279.09210205 0.589269578457 0.584178388119
134.545485947 264.761838859 8880.12890625 1.22372019291 1.11548316479
121.493589551 272.487918853 17903.3457642 1.38147509098 1.35265123844
68.7599235541 284.202255394 12519.6450195 1.71765983105 1.59777319431
252.967587817 320.229498208 27350.0579224 1.68776154518 1.5626963377
36.7295583913 333.330238238 5011548.96277 0.682935357094 0.458409190178
254.918808094 350.04317207 145053.582886 4.74152421951 1.92062008381
121.622856604 368.190071464 99610.6716309 2.02790260315 1.91806054115
285.9791238 362.036863769 1319622.17438 2.68478012085 2.59772229195
92.8385981277 398.928272695 436418.69696 2.40328025818 2.28561806679
251.815727024 423.64021099 14844.7194824 1.8333940506 1.31011641026
176.074315635 436.665307594 2175.68811035 0.686433553696 0.649518966675
119.625029024 450.566825441 6167.56994629 1.0147664547 0.889074146748
208.039485222 455.986588097 6105.86224365 0.720744371414 0.71553248167
158.553403398 454.635333691 28681.1196289 1.64107406139 1.59249687195
183.957461086 513.385540928 9387.23101807 1.3020106554 1.19808602333
101.970286907 516.391393604 14576.2674561 1.50065231323 1.13067364693
222.6001581 589.75357621 21347.1129761 1.62559294701 1.51199829578
238.745722221 659.342983872 12628.3037109 1.43214595318 1.29309523106
192.053593226 661.588746236 18512.0405273 1.52865195274 1.4747209549
265.048368078 689.034538848 88183.3250732 1.97005009651 1.89283657074
53.4095529754 697.013024199 4729.49346924 1.11830770969 0.682503044605
166.177888482 731.465894093 28080.1553345 2.61236596107 1.71650993824
197.170009079 738.992871321 2050.42657471 0.664108812809 0.639892220497
233.704515612 741.372621059 7769.80566406 1.1848937273 1.08075094223
200.715505196 763.750793613 8425.23162842 1.16371548176 1.12095439434
83.9953172286 805.717129519 2772.34631348 1.35349738598 0.600279211998
302.226095402 838.350710449 13497.7506104 1.40004765987 1.37399840355
132.528987229 851.815114428 2909.50915527 0.826108515263 0.624817967415
136.239383142 876.489143067 16751.612915 1.49121582508 1.43060016632
54.5642071305 916.550523748 2395.9887085 0.903025984764 0.897370219231
268.123214703 916.900367407 1704.47583008 0.686924576759 0.5520003438
157.94190662 921.234050615 2014.52972412 0.697695910931 0.638872981071
124.091455774 931.998366424 36851.0982666 0.754385828972 0.736430943012
115.737081137 933.113306092 36513.1210938 1.74885225296 1.66667616367
273.317501751 949.295150509 33828.1902466 1.73436009884 1.63578379154
16.0824211093 128.509638661 909419282.297 69.427986145 9.15284538269
17.3880429326 313.130925483 765155104.256 38.7172050476 9.25471591949
16.2981502047 481.212113883 959967372.068 76.7725372314 9.1195898056
18.2911393555 662.198937104 745193297.301 38.3911552429 9.19972133636
16.3468357588 778.977162584 529365461.202 31.4601764679 9.21758079529
16.3531347525 860.27401052 317283706.132 19.6686534882 9.08689785004
15.5238994138 930.510781353 273060756.5 20.9730510712 9.16910839081
400.91815016 14.5964063136 10145.9775391 1.36206912994 1.18366062641
59.0511606443 17.6411095368 14815.2216187 1.63068628311 1.39590239525
309.317579784 60.9764171742 3896.07519531 1.31671726704 1.18546378613
